id,symbol,name,class
anrkey-x,$anrx,AnRKey X,1
wirtual,wirtual,Wirtual,1
ape-in,apein,Ape In,1
vibe,vibe,VIBE,1
kaby-arena,kaby,Kaby Arena,1
dark-energy-crystals,dec,Dark Energy Crystals,1
hero-arena,hera,Hero Arena,1
cryptomines-eternal,eternal,CryptoMines Eternal,1
starmon-token,smon,StarMon,1
nft-champions,champ,NFT Champions,1
nana-token,nana,NANA Token,1
syndicate-2,synr,MOBLAND,1
green-beli,grbe,Green Beli,1
life-coin,lfc,Supernova Shards Life Coin,1
thetan-arena,thg,Thetan World,1
loserchick-egg,egg,LoserChick EGG,1
monsterra-mag,mag,Monsterra MAG,1
magical-blocks,mblk,Magical Blocks,1
raider-aurum,aurum,Raider Aurum,1
chaincade,chaincade,ChainCade,1
unicorn-milk,unim,Unicorn Milk,1
cantina-royale,crt,Cantina Royale,1
valeria,val,Valeria,1
bunicorn,buni,Bunicorn,1
magic-beasties,bsts,Magic Beasties,1
megaweapon,$weapon,Megaweapon,1
micropets-2,pets,MicroPets,1
wall-street-games-2,wsg,Wall Street Games,1
dexioprotocol-v2,dexio,Dexioprotocol,1
metaversex,metax,MetaverseX,1
metaland-gameverse,mst,Monster,1
ark-rivals,arkn,Ark Rivals,1
arcade-2,arc,Arcade,1
dreams-quest,dreams,Dreams Quest,1
meme-lordz,lordz,Meme Lordz,1
zed-run,zed,ZED RUN,1
zoo-crypto-world,zoo,ZOO Crypto World,1
shoefy,shoe,ShoeFy,1
metaderby,dby,Metaderby,1
planet-sandbox,psb,Planet Sandbox,1
render-token,rndr,Render,0
bittensor,tao,Bittensor,0
the-graph,grt,The Graph,0
fetch-ai,fet,Fetch.ai,0
singularitynet,agix,SingularityNET,0
akash-network,akt,Akash Network,0
aioz-network,aioz,AIOZ Network,0
ocean-protocol,ocean,Ocean Protocol,0
arkham,arkm,Arkham,0
origintrail,trac,OriginTrail,0
golem,glm,Golem,0
nosana,nos,Nosana,0
netmind-token,nmt,NetMind Token,0
rss3,rss3,RSS3,0
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,0
delysium,agi,Delysium,0
iexec-rlc,rlc,iExec RLC,0
paal-ai,paal,PAAL AI,0
marlin,pond,Marlin,0
oraichain-token,orai,Oraichain,0
tokenfi,token,TokenFi,0
everipedia,iq,IQ,0
numeraire,nmr,Numeraire,0
virtual-protocol,virtual,Virtual Protocol,0
nodeai,gpu,NodeAI,0
humans-ai,heart,Humans.ai,0
zignaly,zig,Zignaly,0
autonolas,olas,Autonolas,0
sleepless-ai,ai,Sleepless AI,0
covalent,cqt,Covalent,0
cudos,cudos,Cudos,0
chaingpt,cgpt,ChainGPT,0
solidus-aitech,aitech,Solidus Ai Tech,0
forta,fort,Forta,0
phoenix-global,phb,Phoenix,0
alethea-artificial-liquid-intelligence-token,ali,Artificial Liquid Intelligence,0
agoras-currency-of-tau,agrs,Agoras: Currency of Tau,0
limewire-token,lmwr,LimeWire,0
vaiot,vai,Vaiot,0
clore-ai,clore,Clore.ai,0
commune-ai,comai,Commune AI,0
singularitydao,sdao,SingularityDAO,0
numbers-protocol,num,Numbers Protocol,0
arc,arc,Arc,0
aleph,aleph,Aleph.im,0
palm-ai,palm,PaLM AI,0
dynex,dnx,Dynex,0
selfkey,key,SelfKey,0
botto,botto,Botto,0
jackal-protocol,jkl,Jackal Protocol,0
cere-network,cere,Cere Network,0
openfabric,ofn,Openfabric AI,0
noisegpt,enqai,enqAI,0
octaspace,octa,OctaSpace,0
synesis-one,sns,Synesis One,0
graphlinq-protocol,glq,GraphLinq Chain,0
vectorspace,vxv,Vectorspace AI,0
hypergpt,hgpt,HyperGPT,0
ait-protocol,ait,AIT Protocol,0
altered-state-token,asto,Altered State Machine,0
atlas-navi,navi,Atlas Navi,0
bitscrunch-token,bcut,bitsCrunch Token,0
dexcheck,dck,DexCheck AI,0
carbon-browser,csix,Carbon Browser,0
optimus-ai,opti,Optimus AI,0
spectre-ai,spectre,Spectre AI,0
dtravel,trvl,TRVL,0
gameswift,gswift,GameSwift,0
phantasma,soul,Phantasma,0
gt-protocol,gtai,GT-Protocol,0
thought,tht,Thought,0
hera-finance,hera,Hera Finance,0
bostrom,boot,Bostrom,0
bad-idea-ai,bad,Bad Idea AI,0
imgnai,imgnai,Image Generation AI,0
matrix-ai-network,man,Matrix AI Network,0
frok-ai,frok,Frok.ai,0
kizuna,kizuna,Kizuna,0
aegis-ai,aegis,Aegis Ai,0
sensay,snsy,Sensay,0
deepbrain-chain,dbc,DeepBrain Chain,0
bridge-oracle,brg,Bridge Oracle,0
chirpley,chrp,Chirpley,0
arbius,aius,Arbius,0
presearch,pre,Presearch,0
purefi,ufi,PureFi,0
cryptogpt-token,lai,LayerAI,0
dotmoovs,moov,dotmoovs,0
orbofi-ai,obi,Orbofi AI,0
ta-da,tada,Ta-da,0
roko-network,roko,Roko Network,0
octavia,via,Octavia,0
arkitech,arki,ArkiTech,0
deepfakeai,fakeai,DeepFakeAI,0
ispolink,isp,Ispolink,0
chartai,cx,ChartAI,0
monai,monai,Monai,0
precipitate-ai,rain,Precipitate.ai,0
ai-network,ain,AI Network,0
chappyz,chapz,Chappyz,0
kwai,kwai,KWAI,0
airight,airi,aiRight,0
ai-power-grid,aipg,AI Power Grid,0
quick-intel,qkntl,Quick Intel,0
vaulttech,$vault,VaultTech,0
eve-ai,eveai,Eve AI,0
liza-2,liza,LIZA,0
lilai,lilai,LilAI,0
aimbot,aimbot,Aimbot AI,0
gny,gny,GNY,0
neuroni-ai,neuroni,Neuroni AI,0
meme-ai-coin,memeai,Meme AI Coin,0
checkdot,cdt,CheckDot,0
vps-ai,vps,VPS Ai,0
alphascan,ascn,AlphaScan AI,0
och,och,Orchai,0
mozaic,moz,Mozaic,0
aimedis-new,aimx,Aimedis (NEW),0
virtuswap,vrsw,VirtuSwap,0
quadency,quad,Quadency Token,0
alphakek-ai,aikek,AlphaKEK.AI,0
2dai-io,2dai,2DAI.io,0
roasthimjim,jim,Jim,0
epik-protocol,aiepk,EpiK Protocol,0
bird-money,bird,Bird.Money,0
not-financial-advice,nfai,Not Financial Advice,0
cindicator,cnd,Cindicator,0
generaitiv,gai,Generaitiv,0
insightx,inx,InsightX,0
smartcredit-token,smartcredit,SmartCredit,0
all-in,allin,All In,0
verox,vrx,Verox,0
oggy-inu-2,oggy,Oggy Inu [ETH],0
inheritance-art,iai,inheritance Art,0
ojamu,oja,Ojamu,0
alpha-radar-bot,arbot,Alpha Radar AI,0
paint,paint,MurAll,0
blacksmith-token,bs,Blacksmith Token,0
ethforestai,ethfai,ETHforestAI,0
vuzzmind,vuzz,VuzzMind,0
0xdefcafe,cafe,0xDEFCAFE,0
architex,arcx,Architex,0
aventis-metaverse,avtm,Aventis Metaverse,0
ora-protocol,olm,OpenLM RevShare Token,0
neural-radiance-field,nerf,Neural Radiance Field,0
otacon-ai,otacon,Otacon AI,0
neurahub,neura,Neurahub,0
mbd-financials,mbd,MBD Financials,0
balance-ai,bai,Balance AI,0
purple-ai,pai,Purple AI,0
quant-ai,qai,Quant AI,0
basedai,basedai,BasedAI,0
resistor-ai,tor,Resistor AI,0
rosnet,rosnet,Rosnet,0
hypercycle,hypc,HyperCycle,0
gpt-protocol,gpt,GPT Protocol,0
black-rabbit-ai,brain,Black Rabbit AI,0
blockgpt,bgpt,BlockGPT,0
superstake,superstake,Superstake,0
aigentx,aix,AIgentX,0
edge-matrix-computing,emc,Edge Matrix Computing,0
cryptoai,cai,CryptoAI,0
trace-network-labs,trace,Trace Network Labs,0
truebit-protocol,tru,Truebit Protocol,0
advantis,advt,Advantis,0
codexchain,cdx,CodeXChain,0
corgiai,corgiai,CorgiAI,3
grok-2,$grok,Grok,3
turbo,turbo,Turbo,3
byte,byte,Byte,3
kizuna,kizuna,Kizuna,3
tao-inu,taonu,TAO INU,3
astropepex,apx,AstroPepeX,3
kiboshib,kibshi,KiboShib,3
nyxia-ai,nyxc,Nyxia AI,3
artificial-idiot,aii,Artificial idiot,3
kitty-ai,kitty,Kitty AI,3
gpu-inu,gpuinu,GPU Inu,3
flying-avocado-cat,fac,Flying Avocado Cat,3
based-brett,brett,Brett,3
degen-base,degen,Degen (Base),3
toshi,toshi,Toshi,3
normie-2,normie,NORMIE,3
mfercoin,mfer,mfercoin,3
higher,higher,higher,3
doginme,doginme,doginme,3
mochi-thecatcoin,mochi,Mochi,3
base-god,tybg,Base God,3
toby-toadgod,toby,Toby ToadGod,3
coinye-west,coinye,Coinye West,3
wild-goat-coin,wgc,Wild Goat Coin,3
anime-base,anime,Anime,3
buttman,butt,Buttman,3
chompcoin,chomp,ChompCoin,3
coding-dino,dino,Coding Dino,3
briun-armstrung,briun,Briun Armstrung,3
corgi,corgi,Corgi,3
betterbelong,long,LONG,3
base-pro-shops,bps,Base Pro Shops,3
edison-bored,bored,BORED,3
fomo-bull-club,fomo,FOMO BULL CLUB,3
basenji,benji,Basenji,3
just-a-black-rock-on-base,rock,Just a Black Rock on Base,3
keyboard-cat-base,keycat,Keyboard Cat (Base),3
based-shiba-inu,bshib,Based Shiba Inu,3
based-chad,chad,Based Chad,3
moew,moew,MOEW,3
mooncats-on-base,mooncats,Mooncats on Base,3
noggles,nogs,Noggles,3
bald-dog,baldo,Bald Dog,3
poopcoin-poop,poop,Poopcoin,3
roost,roost,Roost,3
andy-on-base,andy,Andy,3
weirdo,weirdo,Weirdo,3
broge,broge,Broge,3
all-your-base-2,ayb,All Your Base,3
cat-in-a-dogs-world,mew,cat in a dogs world,3
popcat,popcat,Popcat,3
mog-coin,mog,Mog Coin,3
wen-4,$wen,Wen,3
zero-tech,meow,MEOW,3
catcoin-cash,cat,Catcoin,3
hemule,hemule,Hemule,3
bobacat,psps,BobaCat,3
omnicat,omni,OmniCat,3
lmeow-2,lmeow,lmeow,3
catecoin,cate,CateCoin,3
zeek-coin,meow,Zeek Coin,3
leopold,leo,LEO,3
zorro,zorro,Zorro,3
real-smurf-cat,smurfcat,Real Smurf Cat,3
pajamas-cat,pajamas,Pajamas Cat,3
loaf-cat,loaf,LOAF CAT,3
kira-the-injective-cat,kira,Kira the Injective Cat,3
kitty-inu,kitty,Kitty Inu,3
magicaltux,tux,Magicaltux,3
dacat,dacat,daCat,3
bananacat,bcat,BananaCat,3
gmeow-cat,gmeow,gmeow cat,3
cat-token,cat,Mooncat CAT,3
onigiri-kitty,oky,Onigiri Kitty,3
catfish,catfish,Catfish,3
maneki,maneki,Maneki,3
meowcat-2,meow,Meowcat,3
michicoin,$michi,MichiCoin,3
mochicat,mochicat,MOCHICAT,3
muffin,muffin,Muffin,3
pepcat,pepcat,pepcat,3
poncho,poncho,Poncho,3
schrodinger,meow,Schrodinger,3
shark-cat,sc,Shark Cat,3
sillycat,sillycat,Sillycat,3
sillynubcat,nub,Sillynubcat,3
sqrcat,sqrcat,SQRCAT,3
-3,meow,Meow Meow Coin,3
the-resistance-cat,$reca,The Resistance Cat,3
tombili-the-fat-cat,fatcat,Tombili the Fat Cat,3
upsidedowncat,usdc,UpSideDownCat,3
white-coffee-cat,wcc,White Coffee Cat,3
taylor-swift-s-cat,benji,Taylor Swift's Cat Benji,3
ansem-s-cat,hobbes,Ansem's Cat,3
arab-cat,arab,Arab cat,3
bananacat-sol,bcat,BananaCat (Sol),3
batcat,btc,batcat,3
beamcat,bcat,BEAMCAT,3
bingus-the-cat,bingus,Bingus The Cat,3
bitcat,bitcat,Bitcat,3
blastcat,bcat,BlastCat,3
book-of-meow,bomeow,Book of Meow,3
catex,catex,CATEX,3
cat-getting-fade,cgf,Cat getting fade,3
catino,catino,Catino,3
catvax,catvax,Catvax,3
catwifbag,bag,catwifbag,3
catwifhat-2,$cwif,catwifhat,3
catwifhat-3,catwif,CatWifHat,3
chipi,chipi,CHIPI,3
chonk-the-cat,chonk,Chonk The Cat,3
croc-cat,croc,Croc CAT,3
crunchcat,crunch,Crunchcat,3
el-gato,elgato,el gato,3
googly-cat,googly,Googly Cat,3
habibi-sol,habibi,Habibi (Sol),3
huhu-cat,huhu,Huhu Cat,3
jugni,jugni,JUGNI,3
leia,leia,Leia,3
dogecoin,doge,Dogecoin,3
shiba-inu,shib,Shiba Inu,3
dogwifcoin,wif,dogwifhat,3
floki,floki,FLOKI,3
bonk,bonk,Bonk,3
baby-doge-coin,babydoge,Baby Doge Coin,3
the-doge-nft,dog,The Doge NFT,3
myro,$myro,Myro,3
dogelon-mars,elon,Dogelon Mars,3
arbdoge-ai,aidoge,ArbDoge AI,3
welsh-corgi-coin,welsh,WELSH CORGI COIN,3
leash,leash,Doge Killer,3
samoyedcoin,samo,Samoyedcoin,3
doge-eat-doge,omnom,Doge Eat Doge,3
kishu-inu,kishu,Kishu Inu,3
volt-inu-2,volt,Volt Inu,3
feisty-doge-nft,nfd,Feisty Doge NFT,3
kimbo,kimbo,Kimbo,3
hoge-finance,hoge,Hoge Finance,3
any-inu,ai,Any Inu,3
gui-inu,gui,Gui Inu,3
chihuahua-token,huahua,Chihuahua Chain,3
shina-inu,shi,Shina Inu,3
polydoge,polydoge,PolyDoge,3
cheems,cheems,Cheems,3
linda-2,linda,Linda,3
dogami,doga,Dogami,3
dogebonk,dobo,DogeBonk,3
tamadoge,tama,Tamadoge,3
luna-inu,linu,Luna Inu,3
melon-dog,melon,Melon Dog,3
husky-avax,husky,Husky Avax,3
hokkaido-inu,$hokk,Hokkaidu Inu,3
solordi,solo,Solordi,3
flokita,flokita,Flokita,3
eggdog,egg,Eggdog,3
woof-token,woof,WOOF,3
toge,toge,TOGE,3
dingocoin,dingo,Dingocoin,3
corgicoin,corgi,CorgiCoin,3
inu,inu,Inu.,3
wrapped-optidoge,woptidoge,Wrapped OptiDoge,3
bonk-2-0-sol,bonk2.0,Bonk 2.0 (Sol),3
inu-inu,inuinu,Inu Inu,3
ada-the-dog,ada,ADA the Dog,3
akitaaaaaa,aaaaaa,AKITAAAAAA,3
akitavax,akitax,Akitavax,3
ben-the-dog,bendog,Ben the Dog,3
bird-dog,birddog,Bird Dog,3
bonkwifhat,bif,bonkwifhat,3
bork-2,bork,Bork,3
buffy,buffy,Buffy,3
chinu-2,chinu,Chinu,3
choppy,choppy,Choppy,3
doge-inu,dinu,Doge Inu,3
dogemob,dogemob,Dogemob,3
doginthpool,dip,doginthpool,3
dog-wif-nuchucks,ninja,Dog Wif Nunchucks,3
dogwifsaudihat,wifsa,dogwifsaudihat,3
hachiko-era,haki,Hachiko Inu,3
hava-coin,hava,Hava Coin,3
hosky,hosky,Hosky,3
achi-inu,achi,ACHI INU,3
ishi,ishi,Ishi,3
kishu-ken,kishk,Kishu Ken,3
myra,myra,Myra,3
phteven,phteve,Phteven,3
pun-dog,pun,Pun Dog,3
resistance-dog,redo,Resistance Dog,3
rosy,rosy,Rosy,3
solabrador-2,sober,Solabrador,3
suicune-on-sui,hsui,Suicune on SUI,3
woofswap-woof,woof,WOOF,3
optimus-ai,opti,Optimus AI,3
baby-grok,babygrok,Baby Grok,3
elon-doge-token,edoge,ElonDoge.io,3
colonizemars,gtm,ColonizeMars,3
gateway-to-mars,mars,GATEWAY TO MARS,3
elon-xmas,xmas,Elon Xmas,3
dogsofelon,doe,Dogs Of Elon,3
web,web,Web,3
chief-troll-officer,cto,Chief Troll Officer,3
go-fu-k-yourself,gfy,go fu*k yourself.,3
grok1-5,grok1.5,Grok1.5,3
grok2-0,grok2.0,Grok2.0,3
memes-street,memes,Memes Street,3
promptide,promptide,PromptIDE,3
snailbrook,snail,SnailBrook,3
astroelon,elonone,AstroElon,3
pepe,pepe,Pepe,3
book-of-meme,bome,BOOK OF MEME,3
memecoin-2,meme,Memecoin,3
jeo-boden,boden,Jeo Boden,3
pups-ordinals,pups,PUPS (Ordinals),3
maga,trump,MAGA,3
slerf,slerf,Slerf,3
coq-inu,coq,Coq Inu,3
milady-meme-coin,ladys,Milady Meme Coin,3
harrypotterobamasonic10in,bitcoin,HarryPotterObamaSonic10Inu (ETH),3
snek,snek,Snek,3
pepefork,pork,PepeFork,3
ponke,ponke,PONKE,3
boba-oppa,bobaoppa,Boba Oppa,3
non-playable-coin,npc,Non-Playable Coin,3
retardio,retardio,RETARDIO,3
mumu-the-bull-3,mumu,MUMU THE BULL,3
wojak,wojak,Wojak,3
harambe-2,harambe,Harambe on Solana,3
shiba-predator,qom,Shiba Predator,3
peng,peng,Peng,3
troll,troll,Troll,3
guacamole,guac,Guacamole,3
catgirl,catgirl,Catgirl,3
gigachad-2,giga,Gigachad,3
vita-inu,vinu,Vita Inu,3
dejitaru-tsuka,tsuka,Dejitaru Tsuka,3
solama,solama,Solama,3
bob-token,bob,BOB Token,3
squidgrow,squidgrow,SquidGrow,3
silly-dragon,silly,Silly Dragon,3
bad-idea-ai,bad,Bad Idea AI,3
jesus-coin,jesus,Jesus Coin,3
wall-street-memes,wsm,Wall Street Memes,3
bozo-hybrid,bozo,bozo Hybrid,3
