0,1,2,3,4,5,6,7,8,9,10,date
469,QKC QuarkChain,QKC,"$90,580,688.81",$0.01297,6.982.387.909 QKC *,"$7,347,844.41","-0,63%","-1,37%","5,27%",,2024_04_21
470,USDX USDX [Kava],USDX,"$90,724,833.59",$0.8132,111.567.264 USDX *,"$298,314.82","-0,16%","-1,02%","-5,21%",,2024_04_21
471,XPLA XPLA,XPLA,"$90,225,559.20",$0.1685,535.379.763 XPLA *,"$521,228.61","-0,64%","-0,35%","2,71%",,2024_04_21
472,CREAM Cream Finance,CREAM,"$89,775,426.42",$48.38,1.855.659 CREAM *,"$2,455,033.84","0,60%","-0,49%","0,75%",,2024_04_21
473,PNG Pangolin,PNG,"$89,669,355.91",$0.415,216.067.807 PNG *,"$738,106.61","0,60%","-2,26%","-7,63%",,2024_04_21
474,GAFI GameFi.org,GAFI,"$89,115,513.12",$8.1421,10.945.063 GAFI *,"$638,822.66","0,08%","-0,70%","5,79%",,2024_04_21
475,BADGER Badger DAO,BADGER,"$88,263,775.47",$4.5872,19.241.287 BADGER *,"$9,058,934.34","-0,29%","-3,23%","6,01%",,2024_04_21
476,BZR Bazaars,BZR,"$88,202,768.65",$7.5566,11.672.346 BZR,"$142,094.74","-0,39%","-0,13%","-0,35%",,2024_04_21
477,CPOOL Clearpool,CPOOL,"$87,434,699.32",$0.193,453.041.616 CPOOL *,"$1,957,107.22","-0,15%","-6,18%","-3,98%",,2024_04_21
478,ACS Access Protocol,ACS,"$87,447,692.64",$0.002511,34.818.937.012 ACS,"$1,809,680.28","-1,35%","-2,68%","-1,82%",,2024_04_21
479,BITCOIN HarryPotterObamaSonic10Inu (ERC-20),BITCOIN,"$87,617,020.38",$0.08763,999.798.155 BITCOIN *,"$2,132,723.80","-1,04%","12,84%","14,81%",,2024_04_21
480,ATA Automata Network,ATA,"$86,853,882.30",$0.1778,488.500.979 ATA *,"$6,198,457.67","-0,04%","-1,21%","11,17%",,2024_04_21
481,SIDUS SIDUS,SIDUS,"$86,348,458.13",$0.009228,9.356.868.845 SIDUS *,"$785,953.73","0,01%","-4,33%","0,88%",,2024_04_21
482,LTO LTO Network,LTO,"$85,898,919.78",$0.2011,427.082.141 LTO *,"$3,360,412.19","-0,25%","-3,24%","-7,29%",,2024_04_21
483,DMTR Dimitra,DMTR,"$85,929,628.16",$0.1766,486.503.182 DMTR *,"$1,287,695.29","0,44%","-7,43%","2,48%",,2024_04_21
484,MBL MovieBloc,MBL,"$85,144,462.46",$0.004856,17.535.220.550 MBL *,"$4,250,576.16","-0,73%","-0,88%","4,96%",,2024_04_21
485,HPO Hippocrat,HPO,"$85,400,683.13",$0.08597,993.409.273 HPO *,"$1,212,105.19","-0,45%","-0,29%","-3,74%",,2024_04_21
486,ETN Electroneum,ETN,"$84,181,861.92",$0.004685,17.970.306.055 ETN,"$1,027,495.11","1,39%","-5,22%","-9,54%",,2024_04_21
487,DORA Dora Factory,DORA,"$85,221,849.74",$0.1586,537.277.116 DORA *,"$305,228.81","0,07%","7,91%","38,93%",,2024_04_21
488,PORK PepeFork,PORK,"$84,718,113.33",$0.0000002,420.690.000.000.000 PORK *,"$2,867,342.92","-0,39%","-3,25%","-6,21%",,2024_04_21
489,GTC Gitcoin,GTC,"$84,096,016.80",$1.2686,66.291.054 GTC *,"$6,020,155.30","-0,60%","-2,46%","0,83%",,2024_04_21
490,WNXM Wrapped NXM,WNXM,"$83,551,980.81",$65.35,1.278.534 WNXM *,"$19,793,941.07","-1,07%","-0,22%","1,33%",,2024_04_21
491,QI BENQI,QI,"$83,308,778.37",$0.01855,4.492.065.898 QI *,"$3,970,416.97","0,04%","-1,08%","8,25%",,2024_04_21
492,LMWR LimeWire,LMWR,"$82,660,204.34",$1.3257,62.352.281 LMWR *,"$6,577,266.40","2,65%","1,11%","10,82%",,2024_04_21
493,AIDOGE ArbDoge AI,AIDOGE,"$81,629,990.38",--,174.455.896.934.211.000 AIDOGE *,"$15,927,469.70","-0,05%","0,79%","17,54%",,2024_04_21
494,POLS Polkastarter,POLS,"$82,074,477.24",$0.8272,99.221.432 POLS *,"$3,296,535.28","0,20%","-0,40%","1,75%",,2024_04_21
495,BOSON Boson Protocol,BOSON,"$81,193,609.40",$0.6478,125.335.030 BOSON *,"$2,063,052.84","1,45%","2,31%","10,38%",,2024_04_21
496,ALI Artificial Liquid Intelligence,ALI,"$80,663,577.42",$0.02248,3.588.163.660 ALI *,"$1,599,872.45","-0,45%","4,27%","6,40%",,2024_04_21
497,PONKE Ponke,PONKE,"$79,263,251.96",$0.1844,429.777.374 PONKE *,"$21,221,239.26","-1,79%","-0,04%","54,52%",,2024_04_21
498,STMX StormX,STMX,"$79,782,335.71",$0.007978,10.000.000.000 STMX *,"$7,863,633.75","-0,23%","-2,29%","3,41%",,2024_04_21
499,TKO Toko Token,TKO,"$79,649,642.20",$0.4701,169.427.916 TKO *,"$4,781,187.27","-0,32%","1,14%","8,93%",,2024_04_21
500,ATLAS Star Atlas,ATLAS,"$80,000,989.14",$0.005091,15.713.025.618 ATLAS *,"$2,422,989.15","-0,22%","-3,90%","-10,11%",,2024_04_21
501,FRONT Frontier,FRONT,"$79,600,235.60",$0.8844,90.000.000 FRONT *,"$16,382,737.68","-0,05%","1,53%","13,54%",,2024_04_21
502,XCHNG Chainge,XCHNG,"$78,578,067.69",$0.1658,474.046.128 XCHNG *,"$5,401,819.04","0,89%","-3,99%","-17,21%",,2024_04_21
503,SNEK Snek,SNEK,"$78,296,644.23",$0.001069,73.235.343.051 SNEK *,"$1,516,656.71","-0,17%","1,77%","18,92%",,2024_04_21
504,ELA Elastos,ELA,"$77,980,971.48",$3.5432,22.008.423 ELA,"$898,252.03","-0,51%","4,78%","-0,89%",,2024_04_21
505,LEVER LeverFi,LEVER,"$77,581,590.36",$0.002661,29.160.085.728 LEVER *,"$6,124,826.96","-0,24%","-1,65%","-1,19%",,2024_04_21
506,META Metadium,META,"$78,511,357.99",$0.04609,1.703.608.720 META *,"$50,147,361.02","1,00%","1,96%","5,20%",,2024_04_21
507,MEME MEMETOON,MEME,"$76,434,757.86",$0.01357,5.631.405.859 MEME *,"$6,402,589.69","-0,15%","-0,05%","-0,96%",,2024_04_21
508,BAKE BakeryToken,BAKE,"$76,138,155.75",$0.2628,289.770.512 BAKE *,"$16,097,678.72","-0,43%","-1,58%","7,08%",,2024_04_21
509,POLIS Star Atlas DAO,POLIS,"$74,688,039.74",$0.3002,248.789.492 POLIS *,"$503,487.05","-0,07%","-1,29%","-7,57%",,2024_04_21
510,ARRR Pirate Chain,ARRR,"$74,568,866.07",$0.38,196.213.798 ARRR,"$98,819.96","-4,14%","-4,56%","23,37%",,2024_04_21
511,CTXC Cortex,CTXC,"$74,215,758.38",$0.3369,220.279.316 CTXC,"$5,003,427.76","0,36%","-0,25%","11,23%",,2024_04_21
512,VIC Viction,VIC,"$74,057,148.61",$0.7648,96.830.754 VIC *,"$4,518,845.30","0,05%","-2,26%","3,11%",,2024_04_21
513,KWD KWD,KWD,"$73,642,317.13",$0.6881,107.024.222 KWD *,$800.14,"0,00%","0,02%","-0,13%",,2024_04_21
514,STIK Staika,STIK,"$71,276,497.95",$2.4742,28.807.734 STIK *,"$1,394,558.36","-1,09%","-3,48%","-4,29%",,2024_04_21
515,PERP Perpetual Protocol,PERP,"$73,035,951.10",$1.1066,66.002.157 PERP *,"$6,640,128.08","-0,43%","-2,68%","4,01%",,2024_04_21
516,VAI VAIOT,VAI,"$72,660,427.70",$0.2254,322.295.875 VAI *,"$955,630.62","-1,86%","-4,75%","-5,16%",,2024_04_21
517,BOBA Boba Network,BOBA,"$72,530,458.14",$0.4226,171.624.232 BOBA *,"$15,251,061.79","-0,57%","-0,01%","4,09%",,2024_04_21
518,TLM Alien Worlds,TLM,"$71,653,418.14",$0.0174,4.118.510.639 TLM *,"$5,688,022.79","-0,34%","-2,41%","9,48%",,2024_04_21
519,AGRS Agoras: Currency of Tau,AGRS,"$72,039,122.98",$4.0022,18.000.000 AGRS *,"$1,062,848.71","-0,02%","0,50%","-5,06%",,2024_04_21
520,DEXT DEXTools,DEXT,"$71,644,844.60",$0.8785,81.552.589 DEXT *,"$165,278.34","-0,53%","1,43%","3,35%",,2024_04_21
521,DNT district0x,DNT,"$71,066,624.30",$0.07107,1.000.000.000 DNT *,"$10,100,300.75","0,12%","1,08%","12,41%",,2024_04_21
522,BRISE Bitgert,BRISE,"$71,590,078.15",$0.00000018,395.688.215.721.653 BRISE *,"$1,982,584.18","0,62%","-2,22%","6,60%",,2024_04_21
523,NULS NULS,NULS,"$70,773,000.61",$0.6689,105.801.113 NULS,"$3,169,708.63","-0,40%","-2,83%","-2,44%",,2024_04_21
524,DIMO DIMO,DIMO,"$71,123,722.27",$0.3257,218.392.113 DIMO *,"$287,392.43","-0,03%","-0,74%","-5,17%",,2024_04_21
525,BUSD BUSD,BUSD,"$70,566,384.07",$1.0008,70.511.448 BUSD *,"$23,074,047.57","-0,01%","-0,03%","-0,12%",,2024_04_21
526,FORTH Ampleforth Governance Token,FORTH,"$70,465,710.96",$4.6985,14.997.390 FORTH *,"$3,635,759.72","1,05%","3,56%","6,29%",,2024_04_21
527,VRSC VerusCoin,VRSC,"$70,207,705.57",$0.9231,76.058.825 VRSC,"$2,389.25","-0,13%","-1,79%","-12,55%",,2024_04_21
528,MPL Maple,MPL,"$69,466,148.03",$15.72,4.417.986 MPL *,"$1,356,987.13","-0,47%","-7,69%","-16,66%",,2024_04_21
529,FX Function X,FX,"$70,563,697.94",$0.1727,408.520.357 FX *,"$680,809.31","-0,93%","3,63%","9,14%",,2024_04_21
530,CBK Cobak Token,CBK,"$69,454,992.32",$0.8374,82.944.777 CBK *,"$6,223,404.33","-0,29%","0,14%","3,80%",,2024_04_21
531,NEON Neon EVM,NEON,"$68,798,249.11",$1.1934,57.651.000 NEON *,"$4,028,051.74","-0,05%","-5,49%","-7,87%",,2024_04_21
532,RLY Rally,RLY,"$68,710,721.13",$0.01324,5.191.477.851 RLY *,"$2,072,040.18","0,55%","4,98%","7,25%",,2024_04_21
533,NIBI Nibiru Chain,NIBI,"$68,619,159.44",$0.3675,186.694.846 NIBI *,"$1,945,714.95","0,81%","-2,29%","2,48%",,2024_04_21
534,CRE Carry,CRE,"$69,089,522.11",$0.006909,10.000.000.000 CRE *,"$3,372,004.76","10,10%","2,98%","8,93%",,2024_04_21
535,AERGO Aergo,AERGO,"$68,254,525.82",$0.1534,445.000.000 AERGO *,"$15,240,156.27","-0,84%","-1,22%","-11,54%",,2024_04_21
536,SMOG Smog,SMOG,"$67,966,280.91",$0.08725,778.999.968 SMOG *,"$373,386.79","-0,29%","-2,07%","-20,54%",,2024_04_21
537,COS Contentos,COS,"$67,665,806.37",$0.01323,5.114.004.014 COS *,"$9,182,089.83","1,88%","0,33%","20,54%",,2024_04_21
538,WXT Wirex Token,WXT,"$67,904,324.98",$0.00679,10.000.000.000 WXT *,"$1,204,614.98","0,44%","0,39%","4,45%",,2024_04_21
539,MPLX Metaplex,MPLX,"$67,494,516.96",$0.2713,248.745.041 MPLX *,"$1,280,940.76","-2,19%","0,07%","12,70%",,2024_04_21
540,CLV CLV,CLV,"$67,129,966.64",$0.08352,803.717.460 CLV *,"$10,202,725.57","-0,22%","-3,31%","8,02%",,2024_04_21
541,GODS Gods Unchained,GODS,"$66,826,239.57",$0.2341,285.416.667 GODS *,"$2,123,957.54","-2,80%","-3,94%","-5,65%",,2024_04_21
542,ULTIMA Ultima,ULTIMA,"$66,916,241.08","$4,362.49",15.339 ULTIMA *,"$2,897,528.41","0,07%","-0,15%","-2,17%",,2024_04_21
543,UOS Ultra,UOS,"$65,805,692.97",$0.1783,369.087.328 UOS *,"$1,074,478.21","-0,12%","-3,28%","-0,64%",,2024_04_21
544,NPT NEOPIN,NPT,"$65,740,453.10",$0.7464,88.077.689 NPT *,"$524,676.33","0,34%","1,12%","1,04%",,2024_04_21
545,CAH Moon Tropica,CAH,"$66,099,483.32",$29.56,2.236.269 CAH *,"$456,516.26","0,12%","7,77%","7,41%",,2024_04_21
546,STRX StrikeX,STRX,"$65,616,156.20",$0.0762,861.141.947 STRX *,"$1,039,576.75","-0,28%","3,29%","-8,49%",,2024_04_21
547,TOMI tomiNet,TOMI,"$64,725,070.94",$0.5608,115.418.760 TOMI,"$15,907,561.85","-0,18%","-5,91%","-7,17%",,2024_04_21
548,DATA Streamr,DATA,"$64,808,148.38",$0.063,1.028.693.853 DATA *,"$2,362,045.99","-0,17%","-1,38%","12,47%",,2024_04_21
549,SWEAT Sweat Economy,SWEAT,"$64,486,211.69",$0.009523,6.771.430.111 SWEAT *,"$6,230,221.12","-0,54%","-1,49%","1,59%",,2024_04_21
550,DFC DeFinder Capital,DFC,"$64,636,581.64",$2.4333,26.563.279 DFC *,"$1,341,752.65","-1,20%","-3,65%","-14,15%",,2024_04_21
551,ALCX Alchemix,ALCX,"$64,865,253.91",$29.37,2.208.846 ALCX *,"$3,672,652.31","1,65%","3,38%","2,64%",,2024_04_21
552,REN Ren,REN,"$64,051,857.53",$0.06411,999.127.500 REN *,"$10,628,032.03","-0,46%","-2,62%","1,02%",,2024_04_21
553,COL Clash of Lilliput,COL,"$63,951,967.41",$0.7792,82.074.400 COL,"$101,058.59","-0,16%","-0,06%","-1,17%",,2024_04_21
554,VNO Veno Finance,VNO,"$63,940,745.69",$0.1347,474.514.554 VNO,"$54,460.88","-0,19%","-1,00%","-2,83%",,2024_04_21
555,BEL Bella Protocol,BEL,"$63,777,301.45",$0.9812,65.000.000 BEL *,"$11,058,907.27","-0,17%","-3,19%","3,25%",,2024_04_21
556,GROK Grok,GROK,"$63,845,526.39",$0.0101,6.320.723.099 GROK *,"$12,054,521.67","-0,56%","6,76%","32,85%",,2024_04_21
557,VRA Verasity,VRA,"$63,357,506.88",$0.006335,10.001.381.139 VRA *,"$7,992,391.85","-0,53%","-1,48%","5,47%",,2024_04_21
558,IDIA Impossible Finance Launchpad,IDIA,"$63,858,266.20",$0.09391,680.000.000 IDIA *,"$170,447.86","0,02%","-17,14%","41,84%",,2024_04_21
559,UQC Uquid Coin,UQC,"$63,097,160.15",$6.3097,10.000.000 UQC *,"$697,584.07","-0,26%","-0,26%","-0,26%",,2024_04_21
560,TRADE Polytrade,TRADE,"$63,045,149.74",$1.9298,32.669.676 TRADE *,"$1,449,511.63","0,93%","3,19%","-8,32%",,2024_04_21
561,STC SaitaChain Coin,STC,"$62,994,109.53",$0.001474,42.723.580.062 STC,"$791,280.85","0,21%","-3,09%","-7,86%",,2024_04_21
562,FUN FUNToken,FUN,"$62,897,681.70",$0.005737,10.962.808.529 FUN *,"$2,369,995.62","-0,31%","-2,36%","3,67%",,2024_04_21
563,MLN Enzyme,MLN,"$62,740,132.50",$23.54,2.665.485 MLN *,"$10,102,826.92","-0,61%","0,14%","7,25%",,2024_04_21
564,BTCP Bitcoin Palladium,BTCP,"$62,783,674.45",$25.35,2.476.893 BTCP,--,"0,00%","0,00%","-0,04%",,2024_04_21
565,BETA Beta Finance,BETA,"$62,759,953.27",$0.0786,798.484.848 BETA *,"$5,069,382.08","0,66%","1,41%","9,84%",,2024_04_21
566,IAG IAGON,IAG,"$61,419,630.67",$0.1633,376.020.434 IAG *,"$490,772.14","-0,57%","4,27%","11,16%",,2024_04_21
567,EWT Energy Web Token,EWT,"$61,462,689.20",$2.0445,30.062.138 EWT *,"$1,344,532.45","0,60%","-0,79%","-1,31%",,2024_04_21
568,NUM Numbers Protocol,NUM,"$61,656,351.10",$0.1013,608.368.916 NUM *,"$952,430.17","-0,64%","-4,27%","-5,05%",,2024_04_21
569,AEUR Anchored Coins AEUR,AEUR,"$60,716,632.51",$1.0650,57.009.605 AEUR *,"$1,652,739.57","0,06%","0,09%","0,21%",,2024_04_21
570,KMD Komodo,KMD,"$60,529,273.01",$0.4452,135.953.876 KMD,"$3,195,868.62","0,65%","3,51%","8,27%",,2024_04_21
571,NIZA Niza Global,NIZA,"$60,009,222.73",$0.0106,5.660.599.954 NIZA,"$3,161,424.65","-0,72%","5,50%","15,51%",,2024_04_21
572,PROPS Propbase,PROPS,"$59,337,163.89",$0.172,344.953.554 PROPS *,"$850,080.65","-0,73%","-2,24%","-11,35%",,2024_04_21
573,FARM Harvest Finance,FARM,"$60,625,087.59",$88.50,684.994 FARM *,"$38,199,782.58","4,26%","22,81%","4,21%",,2024_04_21
574,PANDORA Pandora,PANDORA,"$59,336,041.32","$5,933.60",10.000 PANDORA *,"$4,698,036.12","-0,16%","-5,92%","-10,56%",,2024_04_21
575,PALM PaLM AI,PALM,"$59,010,034.62",$0.747,79.000.000 PALM *,"$1,434,564.91","0,07%","0,02%","-4,09%",,2024_04_21
576,GFAL Games for a Living,GFAL,"$58,948,674.14",$0.02863,2.059.277.848 GFAL *,"$1,246,234.83","0,00%","-0,78%","6,76%",,2024_04_21
577,WAN Wanchain,WAN,"$58,534,200.16",$0.2958,197.896.959 WAN *,"$2,384,443.29",<0.01%,"-2,23%","7,75%",,2024_04_21
578,FLM Flamingo,FLM,"$58,033,514.75",$0.09987,581.118.131 FLM *,"$5,173,521.90","-0,57%","-2,14%","0,25%",,2024_04_21
579,DPI DeFi Pulse Index,DPI,"$58,739,907.12",$105.08,558.983 DPI *,"$226,767.88","2,83%","0,67%","2,52%",,2024_04_21
580,DFI DeFiChain,DFI,"$58,203,575.40",$0.06669,872.709.063 DFI *,"$2,920,259.72","0,77%","-0,26%","-3,58%",,2024_04_21
581,ASTRAFER Astrafer,ASTRAFER,"$57,839,251.48",$0.3698,156.417.090 ASTRAFER *,$374.91,"-0,08%","-2,80%","-1,74%",,2024_04_21
582,MATH MATH,MATH,"$58,199,754.85",$0.5089,114.356.164 MATH *,"$2,371,814.44","1,08%","-3,12%","-16,47%",,2024_04_21
583,ALEPH Aleph.im,ALEPH,"$54,508,406.09",$0.2205,247.220.482 ALEPH,"$3,960,473.17","19,85%","41,38%","20,51%",,2024_04_21
584,GMRX Gaimin,GMRX,"$57,132,732.52",$0.008612,6.634.129.332 GMRX *,"$1,104,631.26","-0,79%","-4,30%","-6,22%",,2024_04_21
585,HUNT Hunt Town,HUNT,"$57,002,162.88",$0.4509,126.425.414 HUNT,"$5,782,081.31","-0,89%","-0,39%","-2,95%",,2024_04_21
586,LAT PlatON,LAT,"$56,622,663.40",$0.01059,5.344.689.221 LAT *,"$5,090,897.67","-0,06%","-2,47%","-12,98%",,2024_04_21
587,DIA DIA,DIA,"$56,830,366.84",$0.5138,110.617.604 DIA *,"$7,980,165.27","-0,34%","-4,44%","6,22%",,2024_04_21
588,XPRT Persistence One,XPRT,"$56,469,067.24",$0.2997,188.404.890 XPRT *,"$407,360.12","-0,52%","-3,26%","10,01%",,2024_04_21
589,LYRA Lyra,LYRA,"$56,528,186.75",$0.09731,580.898.201 LYRA *,"$45,787.18","-0,08%","-4,70%","-3,29%",,2024_04_21
590,ROOT The Root Network,ROOT,"$56,339,164.60",$0.05423,1.038.925.778 ROOT *,"$6,081,310.08","-0,16%","-2,73%","-8,61%",,2024_04_21
591,MDT Measurable Data Token,MDT,"$55,978,095.60",$0.08279,676.157.013 MDT *,"$4,773,690.44","-0,41%","-1,11%","12,82%",,2024_04_21
592,SDAO SingularityDAO,SDAO,"$55,924,219.57",$0.676,82.733.204 SDAO *,"$849,524.15","0,52%","-7,06%","-1,44%",,2024_04_21
593,COPI Cornucopias,COPI,"$55,794,179.50",$0.06574,848.670.162 COPI *,"$465,794.21","-0,14%","0,60%","-0,06%",,2024_04_21
594,TRAC trac (Ordinals),TRAC,"$55,834,971.41",$2.6588,21.000.000 TRAC *,"$814,748.28","3,15%","3,77%","-16,13%",,2024_04_21
595,QUACK RichQUACK.com,QUACK,"$55,574,678.27",--,44.085.961.274.152.300 QUACK *,"$1,214,736.01","-5,25%","14,21%","7,60%",,2024_04_21
596,10SET Tenset,10SET,"$55,504,403.89",$1.4107,39.344.990 10SET,"$1,704,549.80","-0,07%","0,78%","20,74%",,2024_04_21
597,ALT Alitas,ALT,"$55,159,904.00",$0.4597,120.000.000 ALT *,"$7,871.54","-0,03%","0,43%","-5,06%",,2024_04_21
598,XCN Onyxcoin,XCN,"$54,363,291.20",$0.001948,27.903.637.847 XCN,"$3,847,300.44","-0,14%","-1,81%","1,04%",,2024_04_21
599,TT ThunderCore,TT,"$54,556,051.82",$0.005112,10.671.479.129 TT *,"$19,047,374.53","0,14%","-0,80%","0,89%",,2024_04_21
600,PROPC Propchain,PROPC,"$53,950,224.02",$3.1579,17.084.090 PROPC *,"$1,197,256.32","0,05%","-6,98%","-17,65%",,2024_04_21
601,STRK Strike,STRK,"$53,822,372.37",$11.20,4.806.601 STRK *,"$1,937,533.76","-0,36%","-0,82%","1,41%",,2024_04_21
602,MTRG Meter Governance,MTRG,"$53,795,545.69",$1.4983,35.903.902 MTRG *,"$287,744.05","-0,66%","-0,47%","-7,10%",,2024_04_21
603,LINA Linear Finance,LINA,"$53,514,777.82",$0.008768,6.103.621.473 LINA *,"$6,843,388.10","-0,32%","-2,08%","12,05%",,2024_04_21
604,ATR Artrade,ATR,"$53,691,156.12",$0.03551,1.512.000.000 ATR *,"$1,544,816.66","0,33%","0,87%","-24,48%",,2024_04_21
605,SBD Steem Dollars,SBD,"$53,319,447.55",$4.0438,13.185.534 SBD *,"$5,532,426.29","-0,87%","-2,14%","-0,94%",,2024_04_21
606,ORN Orion,ORN,"$52,942,715.77",$1.5505,34.146.255 ORN *,"$6,677,556.45","-0,21%","-3,49%","-6,51%",,2024_04_21
607,TARA Taraxa,TARA,"$53,129,533.72",$0.01359,3.909.030.848 TARA *,"$483,490.04","0,31%","-5,49%","50,51%",,2024_04_21
608,COMBO COMBO,COMBO,"$51,898,106.45",$0.7304,71.051.748 COMBO *,"$3,422,939.04","-0,38%","-2,34%","4,04%",,2024_04_21
609,SOLO Sologenic,SOLO,"$51,608,463.30",$0.129,399.947.699 SOLO,"$3,005,507.26","0,51%","0,50%","3,57%",,2024_04_21
610,REEF Reef,REEF,"$51,347,971.90",$0.00225,22.821.409.581 REEF *,"$14,310,670.13","-0,42%","-0,79%","5,13%",,2024_04_21
611,IDEX IDEX,IDEX,"$51,251,783.86",$0.06347,807.488.993 IDEX *,"$2,367,733.77","-0,41%","-2,58%","3,37%",,2024_04_21
612,IRIS IRISnet,IRIS,"$51,162,564.30",$0.03175,1.611.453.376 IRIS *,"$1,374,152.13","-0,21%","-1,45%","5,98%",,2024_04_21
613,FCT FirmaChain,FCT,"$52,091,394.14",$0.06179,843.103.020 FCT *,"$11,209,855.68","-0,56%","1,13%","-0,86%",,2024_04_21
614,DEAI Zero1 Labs,DEAI,"$51,198,178.05",$0.5613,91.221.244 DEAI *,"$2,821,368.94","-0,09%","14,02%","-20,36%",,2024_04_21
615,PDA PlayDapp,PDA,"$51,337,875.50",$0.0902,569.184.159 PDA *,"$10,558,441.20","0,30%","-4,29%","-0,40%",,2024_04_21
616,CLORE Clore.ai,CLORE,"$50,977,789.06",$0.2043,249.491.637 CLORE,"$2,320,375.49","0,03%","-5,53%","-8,44%",,2024_04_21
617,NEOM Neom,NEOM,"$51,011,994.00",$23.84,2.139.819 NEOM,--,"0,00%","0,00%","-0,20%",,2024_04_21
618,DEL Decimal,DEL,"$51,168,377.47",$0.006144,8.328.426.885 DEL *,"$77,015.69","0,38%","-0,26%","-7,98%",,2024_04_21
619,ASM Assemble Protocol,ASM,"$50,319,042.74",$0.03423,1.469.999.910 ASM,"$1,120,566.81",<0.01%,"-3,21%","6,34%",,2024_04_21
620,OPUL Opulous,OPUL,"$50,473,605.21",$0.1779,283.693.726 OPUL *,"$1,166,668.92","0,11%","-7,14%","-7,27%",,2024_04_21
621,KIN Kin,KIN,"$50,412,935.76",$0.00001717,2.935.737.051.545 KIN *,"$230,838.39","-0,50%","-0,69%","-2,19%",,2024_04_21
622,DNX Dynex,DNX,"$50,708,436.05",$0.5752,88.161.818 DNX,"$1,346,562.30","-0,77%","-2,18%","-2,15%",,2024_04_21
623,GST Green Satoshi Token (SOL),GST,"$50,340,481.91",$0.03821,1.317.311.977 GST *,"$2,744,342.52","-0,94%","1,27%","7,61%",,2024_04_21
624,MDX Mdex,MDX,"$50,318,179.92",$0.05295,950.246.937 MDX *,"$25,417,671.70","4,98%","15,39%","40,97%",,2024_04_21
625,CEEK CEEK VR,CEEK,"$49,362,847.52",$0.06127,805.717.779 CEEK *,"$2,525,963.79","-0,02%","-2,50%","7,84%",,2024_04_21
626,AOG smARTOFGIVING,AOG,"$49,524,066.29",$0.6712,73.780.484 AOG,--,<0.01%,"-0,01%","-0,09%",,2024_04_21
627,GRS Groestlcoin,GRS,"$49,398,327.94",$0.5818,84.898.964 GRS,"$2,088,422.15","-0,04%","-0,50%","2,79%",,2024_04_21
628,UTK xMoney,UTK,"$48,549,199.86",$0.0971,500.000.000 UTK *,"$4,702,934.96","-0,74%","-5,72%","4,76%",,2024_04_21
629,DEGO Dego Finance,DEGO,"$48,481,308.20",$2.3089,20.997.213 DEGO *,"$2,881,582.10","-0,28%","-3,78%","2,72%",,2024_04_21
630,BTCD Bitcoin Dominica,BTCD,"$48,451,707.12",$46.98,1.031.300 BTCD,--,"0,00%","0,00%","-0,15%",,2024_04_21
631,WHITE Whiteheart,WHITE,"$48,075,169.38","$5,409.00",8888 WHITE *,$54.09,"0,00%","2,02%","2,89%",,2024_04_21
632,MNW Morpheus.Network,MNW,"$47,891,190.47",$1.0151,47.180.014 MNW *,"$138,328.85","-0,31%","-4,14%","-4,68%",,2024_04_21
633,CHAT Solchat,CHAT,"$47,720,069.92",$5.9328,8.043.460 CHAT *,"$3,434,051.53","-0,59%","-13,78%","-14,96%",,2024_04_21
634,DERO Dero,DERO,"$47,749,070.55",$3.3361,14.312.916 DERO,"$9,990.74","-0,15%","-2,37%","-14,91%",,2024_04_21
635,LEASH Doge Killer,LEASH,"$47,571,591.93",$447.29,106.355 LEASH *,"$2,985,324.58","-0,27%","-4,50%","3,24%",,2024_04_21
636,RSV Reserve,RSV,"$47,567,988.46",$1.6488,28.850.667 RSV *,--,"-0,09%","-0,07%","-0,19%",,2024_04_21
637,EL ELYSIA,EL,"$46,973,165.98",$0.01171,4.010.729.784 EL *,"$6,741,423.56","2,89%","4,48%","7,36%",,2024_04_21
638,PAID PAID Network,PAID,"$47,497,728.75",$0.1644,288.903.800 PAID *,"$153,462.92","0,04%","2,90%","-12,70%",,2024_04_21
639,UPP Sentinel Protocol,UPP,"$48,373,610.51",$0.09717,497.834.800 UPP *,"$57,003,734.93","1,11%","6,08%","8,63%",,2024_04_21
640,5IRE 5ire,5IRE,"$47,189,844.29",$0.1066,442.696.327 5IRE,"$847,765.53",<0.01%,"-2,94%","-24,08%",,2024_04_21
641,CCD Concordium,CCD,"$47,172,490.92",$0.005055,9.332.284.646 CCD *,"$1,380,767.56","0,21%","-0,84%","-0,04%",,2024_04_21
642,LOKA League of Kingdoms Arena,LOKA,"$46,541,281.86",$0.2782,167.301.481 LOKA *,"$4,889,885.53","-0,60%","-2,42%","-1,21%",,2024_04_21
643,SUSD sUSD,SUSD,"$46,679,972.70",$0.9935,46.985.058 SUSD *,"$2,844,204.79","0,10%","-0,35%","-0,42%",,2024_04_21
644,SHRAP Shrapnel,SHRAP,"$46,591,175.20",$0.1934,240.900.741 SHRAP *,"$1,375,952.26","-0,13%","-4,75%","-9,90%",,2024_04_21
645,CHEQ cheqd,CHEQ,"$46,516,763.41",$0.0724,642.492.815 CHEQ *,"$273,930.35","-0,14%","-1,60%","6,93%",,2024_04_21
646,KWENTA Kwenta,KWENTA,"$46,505,743.95",$107.70,431.809 KWENTA *,"$154,414.67","0,34%","-3,16%","-0,16%",,2024_04_21
